Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Color,Comments
155,155,VSS,VSS_R_9,Right,Outside,1.96869670018524,4.87341885154623,1.4384205,-0.22275,3.4,-0.39,78,
156,156,sdi_D_data_0_io,sdi_D_data_0_io,Right,Inside,4.70896811459902,6.11328766377779,1.3520205,-0.18225,6.03421,-0.68373,78,
157,157,VDD,VDD_R_8,Right,Outside,3.06692536048569,4.63178533083351,1.4384205,-0.14175,4.49533,-0.38941,79,
158,158,misc_R_4_i,misc_R_4_i,Right,Inside,4.70189457454974,3.75148229116177,1.3520205,-0.10125,6.04384,-0.40889,79,
159,159,VSS,VSS_R_8,Right,Outside,1.96317974147052,2.31355518797462,1.4384205,-0.06075,3.4,-0.14,80,
160,160,clk_1_n_o,clk_1_n_o,Right,Inside,4.69797727498764,1.38765638035831,1.3520205,-0.02025,6.04862,-0.13402,80,
161,161,VDD,VDD_R_7,Right,Outside,3.06164646837617,0.378962106379291,1.4384205,0.02025,4.5,0,81,
162,162,clk_1_p_o,clk_1_p_o,Right,Inside,4.69722182557523,0.976603277591877,1.3520205,0.06075,6.04856,0.14081,81,
163,163,VSS,VZZ_R_3,Right,Outside,1.96179017668054,0.839698684046384,1.4384205,0.10125,3.4,0.13,82,
164,164,misc_R_3_o,misc_R_3_o,Right,Inside,4.69963030926372,3.3395713473904,1.3520205,0.14175,6.04367,0.41552,82,
165,165,V33,V33_R_3,Right,Outside,3.8669764614761,4.43654764670613,1.4384205,0.18225,5.29381,0.48138,83,
166,166,sdi_C_data_0_i,sdi_C_data_0_i,Right,Inside,4.70518020939478,5.69954327906144,1.3520205,0.22275,6.03394,0.69003,83,
167,167,VSS,VSS_R_7,Right,Outside,1.96783248710866,4.56880268240439,1.4384205,0.26325,3.4,0.42,84,
168,168,sdi_C_data_1_i,sdi_C_data_1_i,Right,Inside,4.71386726405615,8.05507153664361,1.3520205,0.30375,6.01938,0.96428,84,
169,169,VDD,VDD_R_6,Right,Outside,3.07548626970765,8.45769852247857,1.4384205,0.34425,4.48046,0.79659,85,
170,170,sdi_C_data_2_i,sdi_C_data_2_i,Right,Inside,4.72568050097764,10.4043661445166,1.3520205,0.38475,6,1.23818,85,
171,171,VSS,VSS_R_6,Right,Outside,1.97936522585405,7.68663386225842,1.4384205,0.42525,3.4,0.69,86,
172,172,sdi_C_ncmd_o,sdi_C_ncmd_o,Right,Inside,4.74058553336297,12.7458479497767,1.3520205,0.46575,5.97579,1.51165,86,
173,173,VDD,VDD_R_5,Right,Outside,3.08806384296864,11.9492722110347,1.4384205,0.50625,4.45957,1.14562,87,
174,174,misc_R_2_i,misc_R_2_i,Right,Inside,4.75858560916374,15.0780145132482,1.3520205,0.54675,5.94678,1.78462,87,
